Np,L,sigma_rw,resample,day,age_group,true_Rj,Rj_med,Rj_lo,Rj_hi,true_dR,dR_med,dR_lo,dR_hi
100000,16,0.15,every,25,18-44,0.848378,0.8378189977926274,0.728835041090906,0.9647057670791639,15085.572494,15148.88718676113,12918.975261919259,17763.01732279484
100000,16,0.15,every,25,45-64,0.712775,0.7054243927017829,0.6149822245096149,0.8104544662421067,4019.988369,4036.323381143251,3455.8906690250224,4747.441079750188
100000,16,0.15,every,25,65+,0.577785,0.5722082278854803,0.5033423264665237,0.6504587128208542,743.91342,746.2600742569748,637.0786911530718,878.1284782787102
100000,16,0.15,every,26,0-5,1.538409,1.5140424755881927,1.2893551061985535,1.7784396760987577,6241.868991,6245.816029676396,5386.686453537579,7320.48741082663
100000,16,0.15,every,26,6-11,2.365505,2.300815787940947,1.9557862025882393,2.7137578384305736,39729.377274,39827.11202124116,34301.30042040546,46993.09375853423
100000,16,0.15,every,26,12-17,1.698384,1.678798705733831,1.4418088839769199,1.9649386778738431,6185.700699,6197.434643275868,5304.532643880066,7259.664701249185
100000,16,0.15,every,26,18-44,0.850308,0.8390881347629152,0.7289309293854636,0.9706700841393159,18407.156202,18461.144731909386,15809.708114591485,21699.461872421438
100000,16,0.15,every,26,45-64,0.716529,0.7089478018449471,0.6177879759013268,0.8149551494791782,4929.833728,4937.298347620843,4208.244417032791,5820.581135617169
100000,16,0.15,every,26,65+,0.58091,0.5747398670147117,0.5053354689798567,0.6538211061463571,910.559366,912.9906895122413,778.6570267368425,1073.6147470566184
100000,16,0.15,every,27,0-5,1.536973,1.5085680116166063,1.289359821789132,1.7689054010840728,7536.321247,7541.677754084645,6467.4531289484585,8811.312380191346
100000,16,0.15,every,27,6-11,2.328335,2.2619776069981823,1.9174253200215303,2.6642374051304896,46672.912574,46786.05015005972,40423.3581543749,54781.36247281608
100000,16,0.15,every,27,12-17,1.700803,1.6819639704307305,1.4425354802826023,1.9640002143592663,7525.482085,7538.345340282744,6457.209105467219,8821.94320938168
100000,16,0.15,every,27,18-44,0.851409,0.8384752953553323,0.7270817263486651,0.9700528082074104,22380.349545,22465.51813717473,19230.95665414493,26352.8969232269
100000,16,0.15,every,27,45-64,0.719848,0.7113985293657507,0.6187349467477754,0.8197035709208351,6029.107041,6040.834852090706,5156.268011705975,7113.776183162365
100000,16,0.15,every,27,65+,0.583707,0.5769293866945471,0.506867772123019,0.6576189064378086,1111.377766,1112.4731348074356,950.8622489625241,1307.178730398552
100000,16,0.15,every,28,0-5,1.533549,1.503296521425246,1.2796400148274503,1.7681379407363886,9061.997971,9068.997998026112,7783.761466314245,10591.725477719534
100000,16,0.15,every,28,6-11,2.284154,2.2090848243736536,1.8684605579358704,2.6054443913219387,54317.819328,54449.12911985605,46989.294240929186,63765.96640383813
100000,16,0.15,every,28,12-17,1.701519,1.6776867575682752,1.437424290294079,1.9640016393914412,9123.405142,9122.54494075397,7860.304652737766,10670.88365734859
100000,16,0.15,every,28,18-44,0.851597,0.8347920351476015,0.7263059411161369,0.9669108902589922,27089.486627,27270.73966794736,23367.615701456,31862.072647406516
100000,16,0.15,every,28,45-64,0.722678,0.7117673188120912,0.6201230121248222,0.8203220854358135,7347.248756,7383.490819106217,6286.1814239832165,8636.497187488705
100000,16,0.15,every,28,65+,0.586138,0.5778885092367422,0.5084557681102851,0.6588434005120988,1351.491718,1349.272172383221,1150.837515054448,1585.9201117704024
100000,16,0.15,every,29,0-5,1.527933,1.4960572961638676,1.2774452087439854,1.7486765880841715,10839.753381,10840.101555864028,9254.960718021302,12768.862816361347
100000,16,0.15,every,29,6-11,2.232815,2.158434331075247,1.8302303010448584,2.5339790728234384,62528.143683,62523.44894973468,54019.110963632585,73125.0839661024
100000,16,0.15,every,29,12-17,1.700336,1.6780350834733275,1.4369251281900386,1.9631985805271008,11011.615446,11010.516542621568,9455.226703488523,12949.09879464197
100000,16,0.15,every,29,18-44,0.850805,0.8345897463783809,0.7270424581163876,0.9654261896358568,32610.565163,32751.089032712072,28014.97197877682,38416.903853937794
100000,16,0.15,every,29,45-64,0.724969,0.7143911036796659,0.6230694296683399,0.821515382274779,8913.784102,8928.099713712341,7624.0161732281995,10504.826014556958
100000,16,0.15,every,29,65+,0.588169,0.5802547318894873,0.5107634781135344,0.6601455601022671,1635.950409,1630.1884690378338,1391.765376474391,1926.2876964770367
100000,16,0.15,every,30,0-5,1.51995,1.4888362446659826,1.2776533200731712,1.7401906433526582,12883.625658,12871.556322893826,11026.791940628842,15123.920423752395
