weight,day,age_group,true_Rj,Rj_med,Rj_lo,Rj_hi,true_dR,dR_med,dR_lo,dR_hi,obs
Poisson,18,0-5,1.502654,1.8090926741084983,1.8090926741084983,1.8090926741084983,1350.001486,1363.2523128119465,1363.2523128119465,1363.2523128119465,1355
Poisson,18,6-11,2.473394,3.1342938893588794,3.1342938893588794,3.1342938893588794,9023.720946,7847.7706409304155,7847.7706409304155,7847.7706409304155,8351
Poisson,18,12-17,1.639178,1.8579228799259202,1.8579228799259202,1.8579228799259202,1248.747198,1344.6041298678538,1344.6041298678538,1344.6041298678538,1324
Poisson,18,18-44,0.819096,0.9958495722912837,0.9958495722912837,0.9958495722912837,3616.933377,4597.012594937067,4597.012594937067,4597.012594937067,4905
Poisson,18,45-64,0.678688,0.7782198311161592,0.7782198311161592,0.7782198311161592,948.311106,734.1710841774429,734.1710841774429,734.1710841774429,904
Poisson,18,65+,0.550065,0.615369714460618,0.615369714460618,0.615369714460618,177.549463,174.7361813697471,174.7361813697471,174.7361813697471,179
Poisson,19,0-5,1.510132,1.9118472053326334,1.9118472053326334,1.9118472053326334,1622.834336,1690.1687807906019,1690.1687807906019,1690.1687807906019,1592
Poisson,19,6-11,2.472868,2.5862262961667692,2.5862262961667692,2.5862262961667692,10975.172743,10042.750376522948,10042.750376522948,10042.750376522948,8729
Poisson,19,12-17,1.649086,1.8132769950418572,1.8132769950418572,1.8132769950418572,1520.009766,1608.8153456709651,1608.8153456709651,1608.8153456709651,1548
Poisson,19,18-44,0.824418,1.0337212593225718,1.0337212593225718,1.0337212593225718,4431.080289,5858.871330561,5858.871330561,5858.871330561,3727
Poisson,19,45-64,0.684081,0.9004683652066812,0.9004683652066812,0.9004683652066812,1162.198633,996.3840816402972,996.3840816402972,996.3840816402972,1340
Poisson,19,65+,0.554406,0.7204615514344512,0.7204615514344512,0.7204615514344512,217.223561,211.77568242677467,211.77568242677467,211.77568242677467,197
Poisson,20,0-5,1.517023,1.3691382960147112,1.3691382960147112,1.3691382960147112,1959.160279,2227.3786981519934,2227.3786981519934,2227.3786981519934,2454
Poisson,20,6-11,2.469709,2.7101935244820705,2.7101935244820705,2.7101935244820705,13326.287852,12553.611221895851,12553.611221895851,12553.611221895851,12157
Poisson,20,12-17,1.65851,1.8121005075763654,1.8121005075763654,1.8121005075763654,1854.449136,1951.0790022320944,1951.0790022320944,1951.0790022320944,1922
Poisson,20,18-44,0.829473,0.8630674198005043,0.8630674198005043,0.8630674198005043,5436.159,7135.753919337651,7135.753919337651,7135.753919337651,6161
Poisson,20,45-64,0.689363,0.847343290768625,0.847343290768625,0.847343290768625,1427.319119,1706.0507469114382,1706.0507469114382,1706.0507469114382,2036
Poisson,20,65+,0.558669,0.6839019890868656,0.6839019890868656,0.6839019890868656,266.34977,278.1048505310971,278.1048505310971,278.1048505310971,292
Poisson,21,0-5,1.523216,1.442171332912613,1.442171332912613,1.442171332912613,2372.543472,2686.884416923187,2686.884416923187,2686.884416923187,2376
Poisson,21,6-11,2.463448,3.625243732316804,3.625243732316804,3.625243732316804,16145.720016,16749.314223254623,16749.314223254623,16749.314223254623,23094
Poisson,21,12-17,1.667356,2.1798082611559004,2.1798082611559004,2.1798082611559004,2266.211961,2443.661243567416,2443.661243567416,2443.661243567416,2226
Poisson,21,18-44,0.8342,0.9022454494309722,0.9022454494309722,0.9022454494309722,6674.335155,7740.609564064624,7740.609564064624,7740.609564064624,6826
Poisson,21,45-64,0.694499,0.8192232343049587,0.8192232343049587,0.8192232343049587,1755.387594,2708.680527263019,2708.680527263019,2708.680527263019,1547
Poisson,21,65+,0.56283,0.6699016273595437,0.6699016273595437,0.6699016273595437,327.052749,355.13766567971174,355.13766567971174,355.13766567971174,359
Poisson,22,0-5,1.528579,1.1591380141576881,1.1591380141576881,1.1591380141576881,2878.956344,3069.884898555607,3069.884898555607,3069.884898555607,3131
Poisson,22,6-11,2.453554,2.1079802081196366,2.1079802081196366,2.1079802081196366,19506.770976,23470.284124228463,23470.284124228463,23470.284124228463,14422
Poisson,22,12-17,1.675512,1.741388227927641,1.741388227927641,1.741388227927641,2772.190309,3252.1868566163394,3252.1868566163394,3252.1868566163394,3574
Poisson,22,18-44,0.838535,0.7684767303431687,0.7684767303431687,0.7684767303431687,8195.610922,8357.458469919307,8357.458469919307,8357.458469919307,12833
Poisson,22,45-64,0.699454,0.6729148335342077,0.6729148335342077,0.6729148335342077,2160.488931,3551.7202181603316,3551.7202181603316,3551.7202181603316,2667
Poisson,22,65+,0.566857,0.5737786593327769,0.5737786593327769,0.5737786593327769,401.882688,466.8124803761807,466.8124803761807,466.8124803761807,538
Poisson,23,0-5,1.532962,0.9634443203174613,0.9634443203174613,0.9634443203174613,3496.926404,3330.140382717982,3330.140382717982,3330.140382717982,3098
Poisson,23,6-11,2.439441,1.2365097355855286,1.2365097355855286,1.2365097355855286,23483.816704,27679.814000281418,27679.814000281418,27679.814000281418,25236
Poisson,23,12-17,1.682849,1.1019984139748786,1.1019984139748786,1.1019984139748786,3392.32232,4111.977400078962,4111.977400078962,4111.977400078962,2781
Poisson,23,18-44,0.842399,0.5216759508727035,0.5216759508727035,0.5216759508727035,10058.451204,9980.431438141852,9980.431438141852,9980.431438141852,8931
Poisson,23,45-64,0.704184,0.44159646262958613,0.44159646262958613,0.44159646262958613,2659.369155,3938.5448158782547,3938.5448158782547,3938.5448158782547,3062
Poisson,23,65+,0.570717,0.40029523558758,0.40029523558758,0.40029523558758,493.862942,644.8761063521811,644.8761063521811,644.8761063521811,619
Poisson,24,0-5,1.536191,1.4981191101073765,1.4981191101073765,1.4981191101073765,4247.53248,3708.3384993965446,3708.3384993965446,3708.3384993965446,3543
Poisson,24,6-11,2.420485,1.114595099236193,1.114595099236193,1.114595099236193,28146.510063,27860.378668229503,27860.378668229503,27860.378668229503,13809
Poisson,24,12-17,1.68922,0.9124400286384102,0.9124400286384102,0.9124400286384102,4149.798326,4594.243752883256,4594.243752883256,4594.243752883256,4307
Poisson,24,18-44,0.84571,0.669990484814896,0.669990484814896,0.669990484814896,12329.995522,11981.983797377645,11981.983797377645,11981.983797377645,12801
Poisson,24,45-64,0.708641,0.4906954608355102,0.4906954608355102,0.4906954608355102,3271.66235,3881.9603497120042,3881.9603497120042,3881.9603497120042,2700
Poisson,24,65+,0.574373,0.4040702396654455,0.4040702396654455,0.4040702396654455,606.524284,822.4471607533942,822.4471607533942,822.4471607533942,947
Poisson,25,0-5,1.538076,1.9209943634774047,1.9209943634774047,1.9209943634774047,5154.156091,4552.284446677859,4552.284446677859,4552.284446677859,5304
Poisson,25,6-11,2.396044,1.7709043923291534,1.7709043923291534,1.7709043923291534,33551.219506,25518.757846745517,25518.757846745517,25518.757846745517,35576
Poisson,25,12-17,1.694459,1.227009045112755,1.227009045112755,1.227009045112755,5071.091004,4635.628975845517,4635.628975845517,4635.628975845517,4316
Poisson,25,18-44,0.848378,0.9641806568901969,0.9641806568901969,0.9641806568901969,15085.572494,15472.669487895357,15472.669487895357,15472.669487895357,16260
Poisson,25,45-64,0.712775,0.6942071667883808,0.6942071667883808,0.6942071667883808,4019.988369,3528.7942719130406,3528.7942719130406,3528.7942719130406,2976
Poisson,25,65+,0.577785,0.521351504400209,0.521351504400209,0.521351504400209,743.91342,905.8979539511629,905.8979539511629,905.8979539511629,743
Poisson,26,0-5,1.538409,1.4494814446068192,1.4494814446068192,1.4494814446068192,6241.868991,5583.725822205939,5583.725822205939,5583.725822205939,3544
Poisson,26,6-11,2.365505,2.3259837948330775,2.3259837948330775,2.3259837948330775,39729.377274,24303.370902993396,24303.370902993396,24303.370902993396,33684
Poisson,26,12-17,1.698384,1.5572728559724258,1.5572728559724258,1.5572728559724258,6185.700699,4672.383500213877,4672.383500213877,4672.383500213877,5430
Poisson,26,18-44,0.850308,0.906313567258413,0.906313567258413,0.906313567258413,18407.156202,20505.51925646208,20505.51925646208,20505.51925646208,14952
Poisson,26,45-64,0.716529,0.6997418305652846,0.6997418305652846,0.6997418305652846,4929.833728,3250.7067893332787,3250.7067893332787,3250.7067893332787,4916
Poisson,26,65+,0.58091,0.522912603450552,0.522912603450552,0.522912603450552,910.559366,897.8822760682633,897.8822760682633,897.8822760682633,647
Poisson,27,0-5,1.536973,1.6981021347974323,1.6981021347974323,1.6981021347974323,7536.321247,6389.667697506549,6389.667697506549,6389.667697506549,10657
Poisson,27,6-11,2.328335,3.3541172058471296,3.3541172058471296,3.3541172058471296,46672.912574,27578.666030311782,27578.666030311782,27578.666030311782,39564
Poisson,27,12-17,1.700803,2.275727631325311,2.275727631325311,2.275727631325311,7525.482085,5342.963742124368,5342.963742124368,5342.963742124368,12569
Poisson,27,18-44,0.851409,0.9363930771340502,0.9363930771340502,0.9363930771340502,22380.349545,24632.81342784071,24632.81342784071,24632.81342784071,24376
Poisson,27,45-64,0.719848,0.7622748290390802,0.7622748290390802,0.7622748290390802,6029.107041,3424.4128564509447,3424.4128564509447,3424.4128564509447,7348
Poisson,27,65+,0.583707,0.5830629974216239,0.5830629974216239,0.5830629974216239,1111.377766,872.8180694035036,872.8180694035036,872.8180694035036,750
Poisson,28,0-5,1.533549,1.3430654253490848,1.3430654253490848,1.3430654253490848,9061.997971,7361.950383163283,7361.950383163283,7361.950383163283,5319
Poisson,28,6-11,2.284154,5.363151241647028,5.363151241647028,5.363151241647028,54317.819328,41727.57636418627,41727.57636418627,41727.57636418627,56235
Poisson,28,12-17,1.701519,3.81666362524776,3.81666362524776,3.81666362524776,9123.405142,7857.127051394054,7857.127051394054,7857.127051394054,12221
Poisson,28,18-44,0.851597,1.133500398488953,1.133500398488953,1.133500398488953,27089.486627,26486.82500078724,26486.82500078724,26486.82500078724,26380
Poisson,28,45-64,0.722678,1.0447405654915072,1.0447405654915072,1.0447405654915072,7347.248756,4572.682394818865,4572.682394818865,4572.682394818865,8191
Poisson,28,65+,0.586138,0.7957643906719174,0.7957643906719174,0.7957643906719174,1351.491718,913.7437938958437,913.7437938958437,913.7437938958437,1495
Poisson,29,0-5,1.527933,1.6808731685651892,1.6808731685651892,1.6808731685651892,10839.753381,8218.693438562354,8218.693438562354,8218.693438562354,9629
Poisson,29,6-11,2.232815,2.947009209058153,2.947009209058153,2.947009209058153,62528.143683,72719.6635671237,72719.6635671237,72719.6635671237,51545
Poisson,29,12-17,1.700336,2.9376981955494617,2.9376981955494617,2.9376981955494617,11011.615446,13588.54245263389,13588.54245263389,13588.54245263389,13944
Poisson,29,18-44,0.850805,1.1676969000922723,1.1676969000922723,1.1676969000922723,32610.565163,27505.22773015595,27505.22773015595,27505.22773015595,27441
Poisson,29,45-64,0.724969,1.3006673295385212,1.3006673295385212,1.3006673295385212,8913.784102,8578.695737376453,8578.695737376453,8578.695737376453,9583
Poisson,29,65+,0.588169,1.069226861240206,1.069226861240206,1.069226861240206,1635.950409,1199.6292817536469,1199.6292817536469,1199.6292817536469,1602
Poisson,30,0-5,1.51995,2.0499103749855303,2.0499103749855303,2.0499103749855303,12883.625658,10964.176029909228,10964.176029909228,10964.176029909228,11501
Poisson,30,6-11,2.174479,2.0038982624160666,2.0038982624160666,2.0038982624160666,71084.065893,98084.67961868533,98084.67961868533,98084.67961868533,65627
Poisson,30,12-17,1.697079,2.126915961313854,2.126915961313854,2.126915961313854,13218.712345,20420.144080663333,20420.144080663333,20420.144080663333,14680
Poisson,30,18-44,0.848988,1.0481218828429149,1.0481218828429149,1.0481218828429149,39002.002914,32014.556185628753,32014.556185628753,32014.556185628753,31595
Poisson,30,45-64,0.726683,0.9818197965806906,0.9818197965806906,0.9818197965806906,10756.25137,17656.653996644534,17656.653996644534,17656.653996644534,9280
Poisson,30,65+,0.589777,0.8184949382291236,0.8184949382291236,0.8184949382291236,1969.336221,2034.5100613983432,2034.5100613983432,2034.5100613983432,2261
Poisson,31,0-5,1.509469,1.8352889469218794,1.8352889469218794,1.8352889469218794,15197.094747,16065.823089031066,16065.823089031066,16065.823089031066,14989
Poisson,31,6-11,2.109682,1.4996170367726538,1.4996170367726538,1.4996170367726538,79678.808818,107297.00664147432,107297.00664147432,107297.00664147432,80701
Poisson,31,12-17,1.691596,1.3774582325878202,1.3774582325878202,1.3774582325878202,15766.27182,25963.412805949614,25963.412805949614,25963.412805949614,12821
Poisson,31,18-44,0.846135,0.9458181116928148,0.9458181116928148,0.9458181116928148,46293.687618,45393.30638016865,45393.30638016865,45393.30638016865,46627
