Np,day,age_group,ess,resampled
100000,67,0-5,91588.05298647928,false
100000,67,6-11,78464.27519909987,false
100000,67,12-17,76314.59156895427,false
100000,67,18-44,61937.667825213015,false
100000,67,45-64,41858.172974065536,true
100000,67,65+,52528.22374779104,false
100000,68,0-5,77343.0330992399,false
100000,68,6-11,65291.999398354994,false
100000,68,12-17,62260.87720049417,false
100000,68,18-44,50224.71748357496,false
100000,68,45-64,91157.38633279315,false
100000,68,65+,42915.627384009604,true
100000,69,0-5,63570.07980110158,false
100000,69,6-11,53773.92442105145,false
100000,69,12-17,50508.93168811982,false
100000,69,18-44,40708.87453527504,true
100000,69,45-64,76303.18829907657,false
100000,69,65+,91488.05913651659,false
100000,70,0-5,51739.06683098224,false
100000,70,6-11,44169.67290440957,true
100000,70,12-17,40885.52337669566,true
100000,70,18-44,90980.96242314884,false
100000,70,45-64,62271.59968587207,false
100000,70,65+,77564.25289790616,false
100000,71,0-5,42168.20151823146,true
100000,71,6-11,92000.42052573705,false
100000,71,12-17,91018.51712721655,false
100000,71,18-44,75827.6264005293,false
100000,71,45-64,50659.0618062774,false
100000,71,65+,64364.57936531263,false
100000,72,0-5,91417.99876491143,false
100000,72,6-11,78615.1067391718,false
100000,72,12-17,76043.88681676406,false
100000,72,18-44,61579.97697129934,false
100000,72,45-64,41284.20954381203,true
100000,72,65+,52938.47344718807,false
100000,73,0-5,76903.06837266615,false
100000,73,6-11,65641.386946251,false
100000,73,12-17,62024.943417089,false
100000,73,18-44,49735.15516215665,true
100000,73,45-64,91116.46530289088,false
100000,73,65+,43352.43649958221,true
100000,74,0-5,63135.295510550925,false
100000,74,6-11,54230.25757099887,false
100000,74,12-17,50324.02548987464,false
100000,74,18-44,90830.21550584087,false
100000,74,45-64,76255.27098921705,false
100000,74,65+,91418.51809274705,false
100000,75,0-5,51625.20685022179,false
100000,75,6-11,44715.695432780034,true
100000,75,12-17,40832.5847927351,true
100000,75,18-44,75638.30978881066,false
100000,75,45-64,62478.5881741935,false
100000,75,65+,77338.03170598717,false
100000,76,0-5,42262.023042681554,true
100000,76,6-11,92074.30161460607,false
100000,76,12-17,90926.6221496776,false
100000,76,18-44,61441.05695213183,false
100000,76,45-64,51002.050335369015,false
100000,76,65+,64051.11456767111,false
100000,77,0-5,91384.495314104,false
100000,77,6-11,78444.18661391524,false
100000,77,12-17,75873.43777115084,false
100000,77,18-44,49569.7155555958,true
100000,77,45-64,41517.75536964692,true
100000,77,65+,52494.73873786584,false
100000,78,0-5,76841.14537913694,false
100000,78,6-11,65137.861180298365,false
100000,78,12-17,61797.48640686212,false
100000,78,18-44,90637.44137844058,false
100000,78,45-64,90968.71846207457,false
100000,78,65+,42860.56853903166,true
100000,79,0-5,63311.896519073096,false
100000,79,6-11,53814.45501161876,false
100000,79,12-17,50133.70966588602,false
100000,79,18-44,75319.54349317693,false
100000,79,45-64,76238.56163584496,false
100000,79,65+,91695.22441589943,false
100000,80,0-5,52075.622772229035,false
100000,80,6-11,44488.528628600536,true
100000,80,12-17,40710.154052661615,true
100000,80,18-44,61275.56009811351,false
100000,80,45-64,62519.41003475762,false
