scenario,day,quantity,series,mid,lo,hi
step,81,obs,PF,133.938923,100.290584,185.267391
step,82,Rt,true,1.196001,1.196001,1.196001
step,82,Rt,PS,1.215579,0.774573,1.815963
step,82,Rt,PF,1.181544,0.460105,2.832908
step,82,obs,true,147,147,147
step,82,obs,PS,143.760427,107.306192,197.443007
step,82,obs,PF,143.760427,107.306192,197.443007
step,83,Rt,true,1.195980,1.195980,1.195980
step,83,Rt,PS,1.200915,0.766261,1.799082
step,83,Rt,PF,1.178257,0.460947,2.787368
step,83,obs,true,154,154,154
step,83,obs,PS,152.548711,114.391141,210.376272
step,83,obs,PF,152.548711,114.391141,210.376272
step,84,Rt,true,1.195958,1.195958,1.195958
step,84,Rt,PS,1.183945,0.756731,1.775138
step,84,Rt,PF,1.170594,0.450470,2.759127
step,84,obs,true,163,163,163
step,84,obs,PS,161.820626,121.098477,222.359366
step,84,obs,PF,161.820626,121.098477,222.359366
step,85,Rt,true,1.195934,1.195934,1.195934
step,85,Rt,PS,1.187286,0.748325,1.764777
step,85,Rt,PF,1.155911,0.449676,2.712483
step,85,obs,true,171,171,171
step,85,obs,PS,170.216278,127.770780,233.860334
step,85,obs,PF,170.216278,127.770780,233.860334
step,86,Rt,true,1.195910,1.195910,1.195910
step,86,Rt,PS,1.169025,0.738008,1.794391
step,86,Rt,PF,1.140871,0.442039,2.691663
step,86,obs,true,180,180,180
step,86,obs,PS,179.106761,134.500463,244.928449
step,86,obs,PF,179.106761,134.500463,244.928449
step,87,Rt,true,1.195884,1.195884,1.195884
step,87,Rt,PS,1.170341,0.753442,1.797305
step,87,Rt,PF,1.138603,0.442787,2.710045
step,87,obs,true,190,190,190
step,87,obs,PS,188.519574,141.989003,258.411128
step,87,obs,PF,188.519574,141.989003,258.411128
step,88,Rt,true,1.195857,1.195857,1.195857
step,88,Rt,PS,1.180184,0.752766,1.777131
step,88,Rt,PF,1.139629,0.434784,2.662668
step,88,obs,true,200,200,200
step,88,obs,PS,198.369663,149.339244,272.073205
step,88,obs,PF,198.369663,149.339244,272.073205
step,89,Rt,true,1.195828,1.195828,1.195828
step,89,Rt,PS,1.190680,0.754944,1.812180
step,89,Rt,PF,1.138996,0.442518,2.692586
step,89,obs,true,211,211,211
step,89,obs,PS,209.023925,157.225771,285.929722
step,89,obs,PF,209.023925,157.225771,285.929722
step,90,Rt,true,1.195798,1.195798,1.195798
step,90,Rt,PS,1.184107,0.747512,1.802084
step,90,Rt,PF,1.138528,0.445470,2.691481
step,90,obs,true,222,222,222
step,90,obs,PS,219.695370,166.126938,301.076644
step,90,obs,PF,219.695370,166.126938,301.076644
step,91,Rt,true,1.195766,1.195766,1.195766
step,91,Rt,PS,1.188452,0.747434,1.786059
step,91,Rt,PF,1.142723,0.446515,2.675912
step,91,obs,true,234,234,234
step,91,obs,PS,231.583029,175.256187,316.911803
step,91,obs,PF,231.583029,175.256187,316.911803
step,92,Rt,true,1.195732,1.195732,1.195732
step,92,Rt,PS,1.169458,0.750141,1.781894
step,92,Rt,PF,1.141824,0.447113,2.678388
step,92,obs,true,246,246,246
step,92,obs,PS,244.258789,184.626376,332.712214
step,92,obs,PF,244.258789,184.626376,332.712214
step,93,Rt,true,1.195697,1.195697,1.195697
step,93,Rt,PS,1.180633,0.746829,1.825101
step,93,Rt,PF,1.145976,0.445799,2.686604
