day,age_group,Rt
114,12-17,1.056074
114,18-44,0.731218
114,45-64,0.751019
114,65+,0.686697
115,0-5,0.862192
115,6-11,0.906990
115,12-17,1.053337
115,18-44,0.730341
115,45-64,0.750671
115,65+,0.686960
116,0-5,0.859434
116,6-11,0.904458
116,12-17,1.050492
116,18-44,0.729378
116,45-64,0.750232
116,65+,0.687138
117,0-5,0.856595
117,6-11,0.901843
117,12-17,1.047540
117,18-44,0.728330
117,45-64,0.749702
117,65+,0.687231
118,0-5,0.853673
118,6-11,0.899145
118,12-17,1.044481
118,18-44,0.727197
118,45-64,0.749080
118,65+,0.687239
119,0-5,0.850670
119,6-11,0.896363
119,12-17,1.041317
119,18-44,0.725979
119,45-64,0.748366
119,65+,0.687161
120,0-5,0.847586
120,6-11,0.893500
120,12-17,1.038046
120,18-44,0.724675
120,45-64,0.747560
120,65+,0.686998
121,0-5,0.844423
121,6-11,0.890555
121,12-17,1.034671
121,18-44,0.723286
121,45-64,0.746663
121,65+,0.686749
122,0-5,0.841180
122,6-11,0.887529
122,12-17,1.031192
122,18-44,0.721812
122,45-64,0.745674
122,65+,0.686414
123,0-5,0.837858
123,6-11,0.884423
123,12-17,1.027609
123,18-44,0.720253
123,45-64,0.744593
123,65+,0.685993
124,0-5,0.834459
124,6-11,0.881238
124,12-17,1.023924
124,18-44,0.718610
124,45-64,0.743421
124,65+,0.685486
125,0-5,0.830984
125,6-11,0.877975
125,12-17,1.020138
125,18-44,0.716884
125,45-64,0.742158
125,65+,0.684892
126,0-5,0.827433
126,6-11,0.874635
126,12-17,1.016252
126,18-44,0.715074
126,45-64,0.740804
126,65+,0.684213
127,0-5,0.823808
127,6-11,0.871218
127,12-17,1.012266
127,18-44,0.713181
127,45-64,0.739360
127,65+,0.683448
128,0-5,0.820110
128,6-11,0.867726
128,12-17,1.008184
128,18-44,0.711206
128,45-64,0.737825
128,65+,0.682598
129,0-5,0.816340
129,6-11,0.864161
129,12-17,1.004005
129,18-44,0.709149
129,45-64,0.736201
129,65+,0.681662
130,0-5,0.812499
130,6-11,0.860523
130,12-17,0.999731
130,18-44,0.707012
130,45-64,0.734487
130,65+,0.680640
131,0-5,0.808589
131,6-11,0.856814
131,12-17,0.995364
131,18-44,0.704794
131,45-64,0.732686
131,65+,0.679534
132,0-5,0.804612
132,6-11,0.853034
132,12-17,0.990905
132,18-44,0.702497
132,45-64,0.730796
132,65+,0.678343
133,0-5,0.800568
133,6-11,0.849187
133,12-17,0.986356
133,18-44,0.700121
133,45-64,0.728819
133,65+,0.677069
134,0-5,0.796459
134,6-11,0.845272
134,12-17,0.981719
134,18-44,0.697667
134,45-64,0.726755
134,65+,0.675710
135,0-5,0.792287
135,6-11,0.841291
135,12-17,0.976995
135,18-44,0.695137
135,45-64,0.724606
135,65+,0.674269
136,0-5,0.788053
136,6-11,0.837247
136,12-17,0.972187
136,18-44,0.692530
136,45-64,0.722372
136,65+,0.672745
137,0-5,0.783759
137,6-11,0.833140
137,12-17,0.967295
137,18-44,0.689849
137,45-64,0.720053
137,65+,0.671138
138,0-5,0.779407
138,6-11,0.828972
138,12-17,0.962323
138,18-44,0.687094
138,45-64,0.717652
138,65+,0.669451
139,0-5,0.774999
139,6-11,0.824745
139,12-17,0.957272
139,18-44,0.684266
139,45-64,0.715168
139,65+,0.667682
140,0-5,0.770536
140,6-11,0.820460
140,12-17,0.952143
140,18-44,0.681367
140,45-64,0.712603
140,65+,0.665834
141,0-5,0.766019
141,6-11,0.816119
141,12-17,0.946940
141,18-44,0.678397
141,45-64,0.709958
141,65+,0.663906
142,0-5,0.761452
142,6-11,0.811725
142,12-17,0.941664
142,18-44,0.675358
142,45-64,0.707233
142,65+,0.661899
143,0-5,0.756835
143,6-11,0.807278
143,12-17,0.936317
143,18-44,0.672250
143,45-64,0.704430
143,65+,0.659815
144,0-5,0.752171
144,6-11,0.802781
144,12-17,0.930902
144,18-44,0.669076
144,45-64,0.701551
144,65+,0.657654
145,0-5,0.747461
145,6-11,0.798236
145,12-17,0.925421
145,18-44,0.665837
145,45-64,0.698596
145,65+,0.655417
146,0-5,0.742708
146,6-11,0.793643
146,12-17,0.919875
146,18-44,0.662533
146,45-64,0.695566
146,65+,0.653105
147,0-5,0.737913
147,6-11,0.789006
147,12-17,0.914269
147,18-44,0.659167
147,45-64,0.692463
147,65+,0.650718
148,0-5,0.733079
148,6-11,0.784327
148,12-17,0.908603
148,18-44,0.655740
148,45-64,0.689288
148,65+,0.648259
149,0-5,0.728208
149,6-11,0.779606
149,12-17,0.902880
149,18-44,0.652252
149,45-64,0.686043
149,65+,0.645728
