day,age_group,Rj_est,true_Rj
83,6-11,0.944341,0.948368
83,12-17,1.089018,1.094550
83,18-44,0.710913,0.720859
83,45-64,0.708934,0.721769
83,65+,0.627895,0.641895
84,0-5,0.908305,0.910920
84,6-11,0.943732,0.947834
84,12-17,1.088500,1.094175
84,18-44,0.712153,0.722038
84,45-64,0.710899,0.723639
84,65+,0.630299,0.644198
85,0-5,0.907407,0.910081
85,6-11,0.943165,0.947300
85,12-17,1.088048,1.093807
85,18-44,0.713391,0.723190
85,45-64,0.712852,0.725476
85,65+,0.632685,0.646468
86,0-5,0.906547,0.909241
86,6-11,0.942627,0.946757
86,12-17,1.087644,1.093435
86,18-44,0.714620,0.724313
86,45-64,0.714786,0.727275
86,65+,0.635048,0.648700
87,0-5,0.905714,0.908390
87,6-11,0.942109,0.946198
87,12-17,1.087273,1.093047
87,18-44,0.715835,0.725400
87,45-64,0.716696,0.729032
87,65+,0.637385,0.650892
88,0-5,0.904896,0.907521
88,6-11,0.941600,0.945615
88,12-17,1.086922,1.092636
88,18-44,0.717029,0.726449
88,45-64,0.718577,0.730743
88,65+,0.639693,0.653040
89,0-5,0.904086,0.906628
89,6-11,0.941090,0.945004
89,12-17,1.086578,1.092192
89,18-44,0.718197,0.727454
89,45-64,0.720425,0.732405
89,65+,0.641966,0.655142
90,0-5,0.903272,0.905703
90,6-11,0.940572,0.944357
90,12-17,1.086230,1.091708
90,18-44,0.719334,0.728412
90,45-64,0.722234,0.734015
90,65+,0.644202,0.657195
91,0-5,0.902449,0.904742
91,6-11,0.940038,0.943669
91,12-17,1.085868,1.091175
91,18-44,0.720437,0.729321
91,45-64,0.724002,0.735569
91,65+,0.646397,0.659196
92,0-5,0.901607,0.903740
92,6-11,0.939481,0.942936
92,12-17,1.085482,1.090589
92,18-44,0.721500,0.730176
92,45-64,0.725723,0.737065
92,65+,0.648549,0.661143
93,0-5,0.900740,0.902691
93,6-11,0.938894,0.942153
93,12-17,1.085063,1.089942
93,18-44,0.722519,0.730974
93,45-64,0.727395,0.738499
93,65+,0.650654,0.663033
94,0-5,0.899842,0.901591
94,6-11,0.938271,0.941316
94,12-17,1.084603,1.089229
94,18-44,0.723491,0.731714
94,45-64,0.729014,0.739869
94,65+,0.652710,0.664866
95,0-5,0.898907,0.900436
95,6-11,0.937607,0.940421
95,12-17,1.084095,1.088446
95,18-44,0.724412,0.732392
95,45-64,0.730576,0.741173
95,65+,0.654714,0.666637
96,0-5,0.897930,0.899222
96,6-11,0.936897,0.939465
96,12-17,1.083532,1.087587
96,18-44,0.725279,0.733005
96,45-64,0.732080,0.742408
96,65+,0.656663,0.668346
97,0-5,0.896905,0.897947
97,6-11,0.936136,0.938445
97,12-17,1.082909,1.086649
97,18-44,0.726089,0.733553
97,45-64,0.733521,0.743572
97,65+,0.658555,0.669990
98,0-5,0.895829,0.896607
98,6-11,0.935321,0.937357
98,12-17,1.082219,1.085628
98,18-44,0.726839,0.734032
98,45-64,0.734898,0.744663
98,65+,0.660388,0.671568
99,0-5,0.894697,0.895199
99,6-11,0.934447,0.936200
99,12-17,1.081458,1.084520
99,18-44,0.727527,0.734440
99,45-64,0.736207,0.745680
99,65+,0.662159,0.673078
100,0-5,0.893506,0.893721
100,6-11,0.933511,0.934972
100,12-17,1.080621,1.083323
100,18-44,0.728150,0.734777
100,45-64,0.737447,0.746620
100,65+,0.663867,0.674518
101,0-5,0.892252,0.892172
101,6-11,0.932510,0.933669
101,12-17,1.079704,1.082034
101,18-44,0.728706,0.735039
101,45-64,0.738615,0.747482
101,65+,0.665510,0.675888
102,0-5,0.890933,0.890549
102,6-11,0.931442,0.932291
102,12-17,1.078703,1.080649
102,18-44,0.729193,0.735227
102,45-64,0.739710,0.748264
102,65+,0.667086,0.677185
103,0-5,0.889546,0.888850
103,6-11,0.930303,0.930835
103,12-17,1.077615,1.079168
103,18-44,0.729608,0.735338
103,45-64,0.740729,0.748965
103,65+,0.668593,0.678408
