day,date,wk,age_group,obs,dR_med,dR_lo,dR_hi,Rj_med,Rj_lo,Rj_hi,Rj_renewal
17,2016-09-13,38,6-11,9.0000,11.3792,8.8702,14.2874,1.4240,1.2077,1.6764,1.0487
17,2016-09-13,38,12-17,6.5714,7.6094,5.8585,9.8369,1.3431,1.1363,1.5844,0.9992
17,2016-09-13,38,18-44,24.1429,29.8371,24.8652,36.2427,0.8024,0.6868,0.9438,0.5879
17,2016-09-13,38,45-64,19.0000,23.8857,19.7707,29.3029,0.8456,0.7194,0.9944,0.6019
17,2016-09-13,38,65+,11.1429,15.2730,12.1221,19.0872,0.9379,0.7918,1.1200,0.6509
18,2016-09-14,38,0-5,9.8571,10.4459,8.1128,13.1620,1.2917,1.0811,1.5482,1.0673
18,2016-09-14,38,6-11,9.1429,11.2821,8.7758,14.1317,1.5469,1.3122,1.8198,1.1337
18,2016-09-14,38,12-17,6.2857,7.7300,5.9053,10.0751,1.4642,1.2405,1.7200,1.0524
18,2016-09-14,38,18-44,24.2857,30.1958,24.9441,36.3558,0.8894,0.7630,1.0404,0.6374
18,2016-09-14,38,45-64,19.8571,24.2688,19.7665,29.4137,0.9449,0.8037,1.1048,0.6583
18,2016-09-14,38,65+,11.5714,15.2415,12.1601,19.3244,1.0491,0.8837,1.2523,0.7192
19,2016-09-15,38,0-5,9.4286,10.3100,8.0023,13.0298,1.3825,1.1582,1.6533,1.0909
19,2016-09-15,38,6-11,9.1429,11.1736,8.7157,14.0907,1.6785,1.4319,1.9810,1.2007
19,2016-09-15,38,12-17,6.1429,7.8348,6.0176,10.1986,1.6141,1.3702,1.8992,1.1020
19,2016-09-15,38,18-44,24.2857,30.9248,25.4004,37.3630,0.9930,0.8494,1.1653,0.6709
19,2016-09-15,38,45-64,19.7143,24.7581,20.3981,30.1560,1.0622,0.9063,1.2480,0.6959
19,2016-09-15,38,65+,11.4286,15.4000,12.2826,19.5055,1.1714,0.9903,1.3897,0.7615
20,2016-09-16,38,0-5,9.1429,10.0994,7.8635,12.8758,1.4690,1.2374,1.7455,1.1454
20,2016-09-16,38,6-11,9.1429,11.2098,8.7719,14.0548,1.8116,1.5476,2.1186,1.2965
20,2016-09-16,38,12-17,5.2857,7.9741,6.0562,10.3677,1.7619,1.4999,2.0579,1.1352
20,2016-09-16,38,18-44,25.1429,32.2953,26.6832,39.0552,1.0970,0.9439,1.2745,0.7391
20,2016-09-16,38,45-64,21.4286,25.7911,21.2128,31.8273,1.1829,1.0118,1.3809,0.7848
20,2016-09-16,38,65+,13.4286,15.8922,12.6712,19.9529,1.2963,1.0998,1.5355,0.8942
21,2016-09-17,38,0-5,8.5714,9.8565,7.6876,12.5789,1.5191,1.2825,1.7991,1.2021
21,2016-09-17,38,6-11,9.5714,11.2445,8.9060,14.3306,1.8938,1.6173,2.2064,1.4356
21,2016-09-17,38,12-17,6.2857,8.1492,6.1714,10.5974,1.8456,1.5730,2.1588,1.3075
21,2016-09-17,38,18-44,28.5714,34.0836,27.9875,40.6933,1.1649,1.0002,1.3544,0.8164
21,2016-09-17,38,45-64,21.2857,27.3326,22.2531,33.3593,1.2610,1.0788,1.4673,0.8575
21,2016-09-17,38,65+,14.1429,16.5198,13.3490,20.8322,1.3793,1.1623,1.6242,0.9711
22,2016-09-18,39,0-5,9.5714,9.5562,7.4599,12.2441,1.5112,1.2748,1.7965,1.4947
22,2016-09-18,39,6-11,11.0000,11.3290,8.9629,14.4413,1.9007,1.6268,2.2236,1.8176
22,2016-09-18,39,12-17,8.5714,8.3392,6.3296,10.8548,1.8585,1.5868,2.1792,1.7970
22,2016-09-18,39,18-44,37.8571,36.2008,29.8641,43.6880,1.1785,1.0125,1.3759,1.0888
22,2016-09-18,39,45-64,30.1429,29.2319,24.0968,35.3869,1.2801,1.0920,1.4993,1.1664
22,2016-09-18,39,65+,17.8571,17.2623,13.9857,21.5928,1.3953,1.1794,1.6395,1.2869
23,2016-09-19,39,0-5,10.8571,9.2353,7.1291,11.8818,1.4444,1.2086,1.7221,1.6910
23,2016-09-19,39,6-11,12.8571,11.3837,8.9484,14.3450,1.8235,1.5558,2.1401,2.0770
23,2016-09-19,39,12-17,10.4286,8.4950,6.4786,11.2543,1.7769,1.5122,2.0869,2.0745
