day,age_group,incidence,incidence_per1000,incidence_per100k
66,65+,7435.310428,0.802318,80.231766
67,0-5,8919.184744,4.977813,497.781252
67,6-11,4795.194400,1.771030,177.102986
67,12-17,16706.692753,6.026732,602.673237
67,18-44,67961.030840,3.770728,377.072785
67,45-64,36145.479168,2.141704,214.170442
67,65+,7078.543787,0.763820,76.382025
68,0-5,8146.782586,4.546734,454.673353
68,6-11,4351.616738,1.607201,160.720141
68,12-17,15213.417348,5.488052,548.805177
68,18-44,63639.857119,3.530973,353.097324
68,45-64,34113.055047,2.021279,202.127853
68,65+,6728.952287,0.726097,72.609709
69,0-5,7443.525576,4.154245,415.424457
69,6-11,3953.950807,1.460330,146.032973
69,12-17,13850.385101,4.996355,499.635478
69,18-44,59545.291032,3.303792,330.379166
69,45-64,32155.655579,1.905298,190.529802
69,65+,6388.080458,0.689315,68.931483
70,0-5,6803.414233,3.796997,379.699732
70,6-11,3596.621004,1.328356,132.835557
70,12-17,12608.637085,4.548410,454.840957
70,18-44,55675.117432,3.089060,308.906020
70,45-64,30277.982938,1.794042,179.404151
70,65+,6057.167489,0.653607,65.360720
71,0-5,6220.840038,3.471862,347.186165
71,6-11,3274.869890,1.209522,120.952184
71,12-17,11479.111743,4.140947,414.094731
71,18-44,52025.101273,2.886544,288.654389
71,45-64,28483.071358,1.687689,168.768879
71,65+,5737.176142,0.619078,61.907808
72,0-5,5690.604007,3.175936,317.593600
72,6-11,2984.617450,1.102322,110.232165
72,12-17,10452.876198,3.770746,377.074555
72,18-44,48589.413382,2.695919,269.591929
72,45-64,26772.537159,1.586336,158.633562
72,65+,5428.822293,0.585805,58.580473
73,0-5,5207.918358,2.906548,290.654830
73,6-11,2722.346386,1.005456,100.545595
73,12-17,9521.293105,3.434688,343.468849
73,18-44,45361.001664,2.516795,251.679514
73,45-64,25146.809907,1.490007,149.000747
73,65+,5132.604168,0.553841,55.384089
74,0-5,4768.396491,2.661250,266.125038
74,6-11,2485.008817,0.917799,91.779904
74,12-17,8676.135176,3.129808,312.980824
74,18-44,42331.910770,2.348730,234.873004
74,45-64,23605.342246,1.398672,139.867190
74,65+,4848.830609,0.523220,52.321991
75,0-5,4368.035253,2.437808,243.780807
75,6-11,2269.950396,0.838371,83.837058
75,12-17,7909.658184,2.853311,285.331117
75,18-44,39493.554038,2.191248,219.124757
75,45-64,22146.797279,1.312250,131.224969
75,65+,4577.647816,0.493958,49.395754
76,0-5,4003.192494,2.234189,223.418870
76,6-11,2074.848527,0.766313,76.631277
76,12-17,7214.641744,2.602593,260.259260
76,18-44,36836.941958,2.043849,204.384897
