Np,L,sigma_rw,resample,mape_Rj,rmse_Rj,bias_Rj,cov_Rj,width_Rj,mape_dR,cov_dR,ess_min,ess_med,uniq_min,runtime_s,mape_Rj_0_5,mape_Rj_6_11,mape_Rj_12_17,mape_Rj_18_44,mape_Rj_45_64,mape_Rj_65
100000,32,0.1,every,1.4164324332548068,0.0344438007975432,0.004556671752557458,98.14814814814814,0.22658647991544312,0.6192537204608477,99.53703703703702,778.6962837921784,94295.20125132252,3,63.17491412162781,1.4152706160158128,1.980179625891352,1.3505273288742228,1.3831560271760028,1.2289334842789725,1.1405275172924794
100000,32,0.15,every,1.2578625423045204,0.016569344311845112,0.011194189050178285,100.0,0.3013605219958209,0.3471858813452142,100.0,3073.4116382174616,91561.40856541894,25,62.62968182563782,1.3642433076120664,1.6037625079663305,1.2424314023041056,1.2427570613901906,1.0976199189680649,0.9963610555863653
100000,32,0.2,every,1.4481486891003108,0.01750126555708157,0.01380426481502551,100.0,0.3719989542239393,0.32963813227349276,100.0,8180.690504725875,89094.11481278946,221,63.393242835998535,1.6161813230685191,1.804224354201644,1.4008343817552191,1.4557029439342526,1.2600012184472051,1.1519479131950248
100000,32,0.25,every,1.6583167087482238,0.01948658100453744,0.016085772739358538,100.0,0.4386235761305721,0.38500798271623987,100.0,17258.5542664146,86818.30850070907,677,63.67942500114441,1.8223463601101435,1.9978245914316972,1.5934304214508384,1.6837525118239753,1.4888435506418631,1.3637028170308247
100000,32,0.3,every,1.930236486978479,0.021929147996377376,0.018784572535633776,100.0,0.5016987673999385,0.3970377571175263,100.0,26464.421721893938,84775.2217200913,1133,63.455636978149414,2.137145855119729,2.2719799554293623,1.8077852250273374,1.9909357810292942,1.7586872497720414,1.61488485549311
100000,wh,0.1,every,1.406493964776952,0.03405017327183937,0.004617253807045899,98.14814814814814,0.22679440070061774,0.6810556484310166,99.53703703703702,778.6962837921784,94295.20125132252,2,113.27921104431152,1.4259231940466597,1.9782875921998753,1.3277531782125367,1.3744278708274373,1.2098919063375109,1.1226800470376936
100000,wh,0.15,every,1.2552546633912127,0.016805098055778643,0.011103327892477642,100.0,0.3010970956245614,0.37588796910653305,100.0,3073.4116382174616,91561.40856541894,20,113.35624694824219,1.3697524100332712,1.6298223214692371,1.2288277706183979,1.2350851276347738,1.0853714558859917,0.982668894705605
100000,wh,0.2,every,1.4583298756078664,0.0178618701602704,0.014010539131179722,100.0,0.3718082058408226,0.38804715496970094,100.0,8180.690504725875,89094.11481278946,149,113.6449818611145,1.6191842008544632,1.8123480104402665,1.4018087988069539,1.4661137076350639,1.2826122592762093,1.1679122766342418
100000,wh,0.25,every,1.656713652595057,0.020099732771112228,0.016063684069555457,100.0,0.4371402520398666,0.47351627606805186,100.0,17258.5542664146,86818.30850070907,370,113.73877215385437,1.7978553025705497,1.9967796204619428,1.6297181776506446,1.6731523059368116,1.485934858437134,1.3568416505132592
100000,wh,0.3,every,1.9746695180604634,0.022682738058195012,0.019132176792234338,100.0,0.5022700002796842,0.4781276223381772,100.0,26464.421721893938,84775.2217200913,455,113.59256291389465,2.167179289998623,2.2875460894338286,1.8486812991299073,2.0575882758137176,1.823463609314907,1.6635585446717973
1000000,16,0.1,every,1.1028454080590218,0.01936576704106576,0.0069358238382834095,99.88425925925925,0.22656475212807947,0.36118184863806935,99.76851851851852,6832.547577136876,942795.299806657,2,520.68505692482,1.1780960489010803,1.5349904213668255,1.089088554129944,1.075313957869933,0.9173663451983612,0.8222171208879864
