Np,L,day,age_group,uniq
100000,16,105,18-44,5479
100000,16,105,45-64,5738
100000,16,105,65+,6092
100000,16,106,0-5,6051
100000,16,106,6-11,6472
100000,16,106,12-17,5772
100000,16,106,18-44,5502
100000,16,106,45-64,5775
100000,16,106,65+,6121
100000,16,107,0-5,6071
100000,16,107,6-11,6419
100000,16,107,12-17,5784
100000,16,107,18-44,5485
100000,16,107,45-64,5810
100000,16,107,65+,6076
100000,16,108,0-5,6032
100000,16,108,6-11,6415
100000,16,108,12-17,5786
100000,16,108,18-44,5473
100000,16,108,45-64,5792
100000,16,108,65+,6054
100000,16,109,0-5,6050
100000,16,109,6-11,6437
100000,16,109,12-17,5763
100000,16,109,18-44,5493
100000,16,109,45-64,5765
100000,16,109,65+,6009
100000,16,110,0-5,6047
100000,16,110,6-11,6435
100000,16,110,12-17,5768
100000,16,110,18-44,5528
100000,16,110,45-64,5800
100000,16,110,65+,5982
100000,16,111,0-5,6088
100000,16,111,6-11,6507
100000,16,111,12-17,5795
100000,16,111,18-44,5570
100000,16,111,45-64,5772
100000,16,111,65+,5967
100000,16,112,0-5,6070
100000,16,112,6-11,6530
100000,16,112,12-17,5807
100000,16,112,18-44,5593
100000,16,112,45-64,5784
100000,16,112,65+,5971
100000,16,113,0-5,6138
100000,16,113,6-11,6554
100000,16,113,12-17,5783
100000,16,113,18-44,5593
100000,16,113,45-64,5752
100000,16,113,65+,5909
100000,16,114,0-5,6183
100000,16,114,6-11,6577
100000,16,114,12-17,5840
100000,16,114,18-44,5581
100000,16,114,45-64,5746
100000,16,114,65+,5970
100000,16,115,0-5,6201
100000,16,115,6-11,6645
100000,16,115,12-17,5853
100000,16,115,18-44,5578
100000,16,115,45-64,5731
100000,16,115,65+,5953
100000,16,116,0-5,6183
100000,16,116,6-11,6687
100000,16,116,12-17,5884
100000,16,116,18-44,5565
100000,16,116,45-64,5758
100000,16,116,65+,6001
100000,16,117,0-5,6244
100000,16,117,6-11,6740
100000,16,117,12-17,5928
100000,16,117,18-44,5612
100000,16,117,45-64,5707
100000,16,117,65+,5995
100000,16,118,0-5,6291
100000,16,118,6-11,6777
100000,16,118,12-17,5944
100000,16,118,18-44,5540
100000,16,118,45-64,5710
100000,16,118,65+,6019
100000,16,119,0-5,6278
100000,16,119,6-11,6858
100000,16,119,12-17,5961
100000,16,119,18-44,5551
100000,16,119,45-64,5708
100000,16,119,65+,6046
100000,16,120,0-5,6298
100000,16,120,6-11,6893
100000,16,120,12-17,6007
100000,16,120,18-44,5567
100000,16,120,45-64,5733
100000,16,120,65+,6019
100000,16,121,0-5,6420
100000,16,121,6-11,6934
100000,16,121,12-17,5980
100000,16,121,18-44,5567
100000,16,121,45-64,5735
100000,16,121,65+,6058
100000,16,122,0-5,6476
100000,16,122,6-11,7047
100000,16,122,12-17,6034
100000,16,122,18-44,5593
